QC-1,QC-2,QC-3,QC-4,QC-5,QC-6,QC-7,QC-8
1510649,1705604,1640855,1586517,1789588,1771766,1607494,1872364
243679,219825,213949,254396,292228,265111,268250,227466
832683,145858,138179,137965,125740,128270,120047,128299
1435394,1128395,946119,655451,596401,616903,709117,629437
129382,161648,146618,206783,182035,219763,220098,162467
1589580,1464148,1501429,1442351,1349064,1362795,1284320,1456836
58541443,57751641,57180401,57063132,56655151,55632943,55129291,56736812
2261259,2371206,2209110,2501642,2439151,2553714,2542273,2286615
10476038,10600393,10714149,10243850,9936204,10120089,10227335,10173001
776981,943845,1072235,933231,876128,735505,986293,982864
3525233,4170699,2596519,5645033,4569014,3765887,3688670,3856541
1157826,1130087,1199655,1140598,1190882,1109169,1130588,1301368
1195907,1212846,1203157,1263410,1214031,1197787,1232477,1243011
1050159,703006,42251,766483,47062,34400,75114,52204
20670,18214,15216,16746,14031,12724,13283,14751
100850,125425,130905,137771,155844,101897,167117,133513
1418584,1334759,1320367,911386,927954,948876,971818,941812
2225705,2728198,2924670,2911918,3140204,2764994,2835563,2714023
11391680,11160700,12168287,11484200,11695986,11398244,11894948,11812272
110737,124879,273263,156774,199000,136934,235608,92889
43574455,39248414,41564203,40418166,36812116,36690776,34610216,36376341
482968,45869,295952,116116,485334,400947,472543,391157
29943,24241,24422,18447,20171,29086,26079,20763
1326562,1714646,732262,149872,159113,120646,116950,102062
5085786,4729934,5205767,5024570,4993156,4859408,4963357,4887498
1253239,1358428,1299527,1367451,1471912,1410639,1606117,1265261
1106983,730813,78703,26604,29742,34719,33847,33009
252544,233898,253397,217364,236401,232799,198218,238663
7786866,7948080,27049453,8070730,7564792,7753483,7499959,7464135
109004,99225,91299,93622,104292,96104,93144,94667
214951,193777,164206,169490,218984,189552,197602,183223
57906,46038,74270,70398,55915,68436,78743,81329
5200952,5272439,5460038,4641822,4842587,4562585,4645338,4628289
829050,853129,868303,878255,969329,906862,1004398,861546
2547913,2657472,2702752,2713934,2608544,2700848,2555452,2749104
51610,53383,53898,50786,52591,53418,55101,53719
6688,5360,5847,6378,6628,4168,6340,6990
2101513,2282759,2463661,2675744,2429157,2874770,2632217,2623078
183007,203445,200036,163591,195525,201599,199541,168684
64724,41546,81549,54074,53938,70614,68290,41599
260684,268025,274572,298398,293522,288694,351426,281677
57132,55339,52836,53143,51013,53161,37191,52210
132772,113177,99236,97700,92747,83237,81507,87003
466338,375741,305329,276771,289359,226878,241022,196835
548467,1067086,693586,608831,1116816,1029230,435054,1242304
69101,73503,64624,51608,66822,62906,71909,63979
194662,226601,188684,189292,151029,128273,138246,172502
11428357,11117514,11239273,9396897,10912408,11405440,11180053,10963113
2931970,3060437,1995268,3089109,2622650,2296811,2167663,2817417
357388,1627197,2468659,3723182,4073263,3821038,3565151,3398376
1534785,1355295,1187835,1141102,1032551,989876,1014640,1022391
1041394,1031557,984038,1030835,1043562,1005884,1038109,1108462
1302830,1614897,1480128,1493712,1611707,711406,1250106,1280484
839706,802235,793146,835035,726870,804890,835697,837869
178439,183189,150332,195484,186554,193097,164925,103169
26095,44505,13444,111085,569954,390169,384949,389942
213213,218780,81567,47761,50629,134000,57260,209523
629853,692629,679820,1131217,1030349,823354,778575,873162
20534,19935,18045,13895,20207,13565,13924,19110
7890120,8393164,7956301,7875897,7661832,6653696,6901270,7458610
2347928,2296566,2362367,2265942,2095999,2252871,2200210,2186824
633001,646416,582943,514039,438304,446050,357523,636144
162173,135341,206689,362485,144387,258043,211040,141117
7698763,6725121,12329877,7367846,4897991,4324609,4855983,7415695
434581,430565,265084,464786,457793,413684,305092,385308
202534,129358,150251,148290,54146,48498,190598,124114
55851,49245,17065,51785,71237,77391,58926,53262
324349,317049,409968,371417,374584,278266,421245,290486
936272,1353502,642483,728024,442845,715362,520772,476061
56869,91348,70746,61759,93569,53745,126319,90470
2299219,1984171,2423234,2257861,1958172,1062683,1114782,1047750
4918752,4299172,4420561,3897386,3678915,3422148,3398460,3154108
11910487,10091630,10201094,10790086,7593692,6531239,8532845,7802329
4030547,4170293,3391737,4516062,4417339,4492561,4267920,4248365
2219848,2532927,2565868,2603461,3335754,3139823,3467036,3397326
40516,63849,37525,49310,48088,66010,34103,24596
780765,1210814,1236959,808224,1052292,1286501,1394755,888863
243411,177965,131722,365427,359480,268671,236134,411851
770562,775091,764586,598524,800004,783500,853283,816231
520568,681050,636918,612832,668724,285331,479941,478944
49280,63141,68295,73973,78809,86886,94681,67012
13537956,14588605,15696812,12189995,12456661,11185097,12289786,15127115
103609,94163,106111,100877,96053,93272,93673,95504
1393669,1835082,1607081,1643852,1647149,1623240,1700185,1505392
1776557,1795367,1602786,1747751,1836251,1694974,1779087,1422183
254587,223585,236572,222185,227866,233993,237327,225126
220883,201270,205950,214318,201436,200394,189835,210034
279606,285253,286954,215698,169084,199806,189016,157390
86440,79951,78394,73420,85454,78740,79210,67093
25915,33033,23868,32475,25877,33897,32965,22953
210743,197105,164931,172380,134037,111471,127739,130257
8053182,7843690,8486104,8524226,8130833,8037242,8093031,8213885
140914,131757,101722,116950,142776,119603,141668,132420
174430,448891,161710,147720,137153,157584,157806,134617
193474,214469,234912,272696,249538,261305,259231,273500
140461,89843,113419,132548,70376,133436,115133,129326
3362889,3557589,4531451,3426438,2184419,3398921,2040481,1908940
11357,11364,14601,9015,13569,13593,6405,11555
2574216,3460575,4430576,4785073,4533190,4139739,4217292,3780858
376497,492821,455203,419127,423038,445091,453906,474645
7516664,7002168,6584447,5895056,4817751,3883440,3576537,3422055
1403007,1374481,1157706,998209,1052333,886984,1096282,978385
68881,67399,48644,64261,58724,55142,63330,54078
28955656,27475226,22057523,22258396,17027372,12565218,10615170,9995967
735281,752528,784618,813933,839372,726680,845803,782560
91948,85442,74567,71292,74833,70921,74026,64686
1756259,1406990,1731215,1986695,1760580,1868418,1800249,1770837
3678734,4004710,4332890,3415469,3763687,3146698,3504937,4236495
1473483,1456248,1499591,1466206,1483094,1467545,1560284,1466537
856704,763921,697095,717727,769344,734993,858433,749220
232364,262521,153872,244096,65225,248639,261137,287784
848434,1321469,1695190,2643924,2709643,2754393,2841767,2552633
43259,273010,227457,182090,165524,172077,157993,136390
21393654,21521927,20548119,2046676,16588630,15809848,15952434,15517304
9253443,9849388,9352932,8841646,9731680,8735023,9509552,8973621
2205134,2010621,2383241,2231018,2550961,2653619,2346671,2516206
1013733,1127347,1155037,1254157,1383465,1279965,1465419,1381361
21562023,4255386,2608111,339901,1113301,181939,395245,207712
4054684,4051844,3721304,3611645,4000565,4132126,4022157,3954939
525955,1294304,1141214,636431,1219204,222849,699680,1084352
139241,130119,112808,77660,86144,127230,109868,119429
4184215,3294938,110690,135039,156261,20901,163056,205228
1724241,1658545,1999660,1575221,1433762,1588394,1637382,1936883
5388373,5149686,5205881,5064486,5216358,5053348,4889210,5182100
790552,871506,686043,793327,868501,826105,846379,556170
58047687,70234433,81865960,48130066,47660456,50919445,48369488,48282785
73731,71634,54185,67454,72168,69652,75876,113334
2977710,1034335,1632295,2648907,3075470,2045605,2920409,3134577
2192714,2221473,2403328,2429917,2271620,2293723,2218628,2264361
488898,526174,639509,688189,612705,547021,542565,527738
